"id","idresults_smells","idclass","GOD_CLASS","DATA_CLASS","BRAIN_CLASS","LONG_METHOD","COMPLEX_METHOD","BRAIN_METHOD","FEATURE_ENVY","totalSmells","context","idrepository"
"1","1","2686","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"2","1","2689","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"3","1","2690","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"4","1","2691","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"5","1","2697","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"6","1","2700","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"7","1","2724","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"8","1","2727","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"9","1","2729","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"10","1","2730","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"11","1","2733","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"12","1","2734","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"13","1","2738","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"14","1","2742","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"15","1","2743","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"16","1","2744","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"17","1","2746","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"18","1","2747","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"19","1","2751","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"20","1","2753","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"21","1","2754","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"22","1","2755","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"23","1","2758","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"24","1","2761","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"25","1","2762","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"26","1","2765","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"27","1","2769","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"28","1","2770","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"29","1","2771","0","0","0","0","0","0","0","0","6","6116af81ff0b2031e407124b"
"30","2","2773","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"31","2","2777","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"32","2","2778","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"33","2","2782","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"34","2","2783","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"35","2","2784","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"36","2","2785","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"37","2","2787","0","0","0","1","1","0","0","2","6","6116af85ff0b2031e407132a"
"38","2","2789","0","0","0","1","0","0","0","1","6","6116af85ff0b2031e407132a"
"39","2","2792","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"40","2","2793","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"41","2","2795","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"42","2","2797","0","0","0","0","0","0","0","0","6","6116af85ff0b2031e407132a"
"43","2","2798","0","0","0","1","1","0","0","2","6","6116af85ff0b2031e407132a"
