"id","idrepository","name","type"
"1519","611bbd9eff0b202f94e7fbe9","controllers.MethodsForClient","CLASS_DECLARATION"
"1520","611bc023ff0b20495847860d","TestCheckout","CLASS_DECLARATION"
"1521","611bc023ff0b20495847860d","ListNode","CLASS_DECLARATION"
"1522","611bc023ff0b20495847860d","Somerand","CLASS_DECLARATION"
"1523","611bbd9eff0b202f94e7fbe9","controllers.ComparatorDeviceCost","CLASS_DECLARATION"
"1524","611bc023ff0b20495847860d","FastMaxStack","CLASS_DECLARATION"
"1525","611bbd9eff0b202f94e7fbe9","view.ConsolHelper","CLASS_DECLARATION"
"1526","611bc023ff0b20495847860d","Candy","CLASS_DECLARATION"
"1527","611bbd9eff0b202f94e7fbe9","exception.CreateNewRecordException","CLASS_DECLARATION"
"1528","611bc023ff0b20495847860d","Lyrics","CLASS_DECLARATION"
"1529","611bbd9eff0b202f94e7fbe9","controllers.ComparatorDeviceDate","CLASS_DECLARATION"
"1530","611bbd9eff0b202f94e7fbe9","history.HistoryClient","CLASS_DECLARATION"
"1531","611bc023ff0b20495847860d","Calculator","CLASS_DECLARATION"
"1532","611bc023ff0b20495847860d","CarClass","CLASS_DECLARATION"
"1533","611bbd9eff0b202f94e7fbe9","model.Client","CLASS_DECLARATION"
"1534","611bc023ff0b20495847860d","Converter","CLASS_DECLARATION"
"1535","611bbd9eff0b202f94e7fbe9","view.IDeviceStore","CLASS_DECLARATION"
"1536","611bc023ff0b20495847860d","DessertShoppe","CLASS_DECLARATION"
"1537","611bc023ff0b20495847860d","GameOfLife","CLASS_DECLARATION"
"1538","611bbd9eff0b202f94e7fbe9","controllers.ComparatorClientFirstName","CLASS_DECLARATION"
"1539","611bbd9eff0b202f94e7fbe9","controllers.MethodsForDevice","CLASS_DECLARATION"
"1540","611bc023ff0b20495847860d","MaxStack","CLASS_DECLARATION"
"1541","611bc023ff0b20495847860d","PostFixException","CLASS_DECLARATION"
"1542","611bc023ff0b20495847860d","Cookie","CLASS_DECLARATION"
"1543","611bbd9eff0b202f94e7fbe9","history.HistoryDevice","CLASS_DECLARATION"
"1544","611bc023ff0b20495847860d","IceCream","CLASS_DECLARATION"
"1545","611bc023ff0b20495847860d","Checkout","CLASS_DECLARATION"
"1546","611bbd9eff0b202f94e7fbe9","model.Device","CLASS_DECLARATION"
"1547","611bc023ff0b20495847860d","TestSmallInt","CLASS_DECLARATION"
"1548","611bc023ff0b20495847860d","TimeDifference","CLASS_DECLARATION"
"1549","611bc023ff0b20495847860d","LLHomeworkFunctions","CLASS_DECLARATION"
"1550","611bbd9eff0b202f94e7fbe9","controllers.MethodsForSale","CLASS_DECLARATION"
"1551","611bc023ff0b20495847860d","SlowMaxStack","CLASS_DECLARATION"
"1552","611bbd9eff0b202f94e7fbe9","controllers.ComparatorDeviceModel","CLASS_DECLARATION"
"1553","611bc023ff0b20495847860d","Count","CLASS_DECLARATION"
"1554","611bbd9eff0b202f94e7fbe9","view.DeviceStore","CLASS_DECLARATION"
"1555","611bc023ff0b20495847860d","CarArray","CLASS_DECLARATION"
"1556","611bbd9eff0b202f94e7fbe9","controllers.ComparatorSaleDate","CLASS_DECLARATION"
"1557","611bc023ff0b20495847860d","Sundae","CLASS_DECLARATION"
"1558","611bbd9eff0b202f94e7fbe9","controllers.TestValidation","CLASS_DECLARATION"
"1559","611bc023ff0b20495847860d","Maximizer","CLASS_DECLARATION"
"1560","611bc023ff0b20495847860d","Car","CLASS_DECLARATION"
"1561","611bbd9eff0b202f94e7fbe9","controllers.ComparatorDeviceMark","CLASS_DECLARATION"
"1562","611bbd9eff0b202f94e7fbe9","controllers.Utilit","CLASS_DECLARATION"
"1563","611bbd9eff0b202f94e7fbe9","controllers.ComparatorClientLastName","CLASS_DECLARATION"
"1564","611bbd9eff0b202f94e7fbe9","controllers.ComparatorDeviceType","CLASS_DECLARATION"
"1565","611bbd9eff0b202f94e7fbe9","exception.ValidationException","CLASS_DECLARATION"
"1566","611bc023ff0b20495847860d","TestResults","CLASS_DECLARATION"
"1567","611bc023ff0b20495847860d","DessertItem","CLASS_DECLARATION"
"1568","611bbd9eff0b202f94e7fbe9","controllers.Validation","CLASS_DECLARATION"
"1569","611bc023ff0b20495847860d","SmallInt","CLASS_DECLARATION"
"1570","611bbd9eff0b202f94e7fbe9","controllers.ComparatorDeviceColor","CLASS_DECLARATION"
"1571","611bc025ff0b20495847861f","coloniaformiga.ColoniaFormiga","CLASS_DECLARATION"
"1572","611bbd9eff0b202f94e7fbe9","model.Sale","CLASS_DECLARATION"
"1573","611bc025ff0b20495847861f","jfuzzylogic.JFuzzy","CLASS_DECLARATION"
"1574","611bc025ff0b20495847861f","coloniaformiga.Formiga","CLASS_DECLARATION"
"1575","611bc025ff0b20495847861f","coloniaformiga.Requisito","CLASS_DECLARATION"
"1576","611bbd9eff0b202f94e7fbe9","controllers.ComparatorClientDate","CLASS_DECLARATION"
"1577","611bbd9eff0b202f94e7fbe9","history.HistorySale","CLASS_DECLARATION"
"1578","611bbda0ff0b202f94e7fbf6","view.MainView","CLASS_DECLARATION"
"1579","611bbda0ff0b202f94e7fbf6","view.TextItem","CLASS_DECLARATION"
"1580","611bbda0ff0b202f94e7fbf6","view.PathItem","CLASS_DECLARATION"
"1581","611bbda0ff0b202f94e7fbf6","view.StatusBar","CLASS_DECLARATION"
"1582","611bbda0ff0b202f94e7fbf6","model.MainModel","CLASS_DECLARATION"
"1583","611bbda0ff0b202f94e7fbf6","myComponents.BasicPhotoUI","CLASS_DECLARATION"
"1584","611bbda0ff0b202f94e7fbf6","view.LineItem","CLASS_DECLARATION"
"1585","611bbda0ff0b202f94e7fbf6","view.RectangleItem","CLASS_DECLARATION"
"1586","611bbda0ff0b202f94e7fbf6","myComponents.PhotoUI","CLASS_DECLARATION"
"1587","611bbda0ff0b202f94e7fbf6","myComponents.PhotoComponent","CLASS_DECLARATION"
"1588","611bbda0ff0b202f94e7fbf6","controller.TextInputListener","CLASS_DECLARATION"
"1589","611bbda0ff0b202f94e7fbf6","view.PhotoScrollPanel","CLASS_DECLARATION"
"1590","611bbda0ff0b202f94e7fbf6","myComponents.PhotoModel","CLASS_DECLARATION"
"1591","611bbda0ff0b202f94e7fbf6","view.PhotosViewer","CLASS_DECLARATION"
"1592","611bbda0ff0b202f94e7fbf6","view.CanvasItem","CLASS_DECLARATION"
"1593","611bbda0ff0b202f94e7fbf6","controller.ColorChooserListener","CLASS_DECLARATION"
"1594","611bbda0ff0b202f94e7fbf6","controller.MenuListener","CLASS_DECLARATION"
"1595","611bbda0ff0b202f94e7fbf6","controller.ModeListener","CLASS_DECLARATION"
"1596","611bbda0ff0b202f94e7fbf6","myComponents.BasicPhotoModel","CLASS_DECLARATION"
"1597","611bc801ff0b20398c68e344","co.org.elfichero.appelfichero.fragments.CulturaFragment","CLASS_DECLARATION"
"1598","611bc801ff0b20398c68e344","co.org.elfichero.appelfichero.NoticiasContract","CLASS_DECLARATION"
"1599","611bc801ff0b20398c68e344","co.org.elfichero.appelfichero.Column","CLASS_DECLARATION"
"1600","611bc801ff0b20398c68e344","co.org.elfichero.appelfichero.ViewHolder","CLASS_DECLARATION"
"1601","611bc801ff0b20398c68e344","co.org.elfichero.appelfichero.ListArrayAdapter","CLASS_DECLARATION"
"1602","611bc801ff0b20398c68e344","co.org.elfichero.appelfichero.ListViewItem","CLASS_DECLARATION"
"1603","611bc801ff0b20398c68e344","co.org.elfichero.appelfichero.activities.MainActivity","CLASS_DECLARATION"
"1604","611bc801ff0b20398c68e344","co.org.elfichero.appelfichero.fragments.TecnologiaFragment","CLASS_DECLARATION"
"1605","611bc801ff0b20398c68e344","co.org.elfichero.appelfichero.NoticiasProvider","CLASS_DECLARATION"
"1606","611bbda0ff0b202f94e7fbf6","view.EllipseItem","CLASS_DECLARATION"
"1607","611bbda0ff0b202f94e7fbf6","controller.StatueListener","CLASS_DECLARATION"
"1608","611bbda0ff0b202f94e7fbf6","view.Menu","CLASS_DECLARATION"
