"id","name","full_name","numContributors","numCommits","numClasses","numFiles","time","LOC","ContextLOC","ContextNumCommits","ContextNumContributors","ContextTime","context"
"6116af81ff0b2031e407124b","sqlcmd","P0SITIV/sqlcmd","2","217","29","29","33211","1931","LOW","HIGH","LOW","HIGH","6"
"6116af85ff0b2031e407132a","Anguriara","lucazanrosso/Anguriara","1","292","21","19","32644","4287","LOW","HIGH","LOW","HIGH","6"
"6116b40fff0b202190c4095d","HorizonShips","Rhisereld/HorizonShips","2","214","12","12","27715","4417","LOW","HIGH","LOW","HIGH","6"
"6116b413ff0b202190c40a36","min","tayfunbiyikoglu/min","1","182","12","12","21988","2136","LOW","HIGH","LOW","HIGH","6"
"6116b7b3ff0b2021b42a54cd","biblioteca-suman","suman29/biblioteca-suman","2","162","91","91","22311","4668","LOW","HIGH","LOW","HIGH","6"
"6116b7b7ff0b2021b42a5571","MyPlayer","shingrus/MyPlayer","2","150","27","16","22395","4007","LOW","HIGH","LOW","HIGH","6"
"6116b8d0ff0b201420c4240d","TTLEditor","segin/TTLEditor","1","154","7","5","25269","2165","LOW","HIGH","LOW","HIGH","6"
"6116b8d2ff0b201420c424af","CodingInterviews","SuperMardle/CodingInterviews","2","159","71","62","32827","3759","LOW","HIGH","LOW","HIGH","6"
"6116b9f2ff0b201994d04133","AutoSwitch","thebombzen/AutoSwitch","2","173","16","17","32298","4469","LOW","HIGH","LOW","HIGH","6"
"6116b9f4ff0b201994d041f8","Random-Notes","Zarkopafilis/Random-Notes","2","166","12","18","31374","1936","LOW","HIGH","LOW","HIGH","6"
"6116bad1ff0b202ce0fcd199","OCAJSE8","zatenzu/OCAJSE8","1","244","110","110","18000","4611","LOW","HIGH","LOW","HIGH","6"
"6116bad4ff0b202ce0fcd28f","TagAPI","TheDiamondGuy/TagAPI","2","154","36","29","17313","4521","LOW","HIGH","LOW","HIGH","6"
"6116bbb2ff0b201d242978b3","bing-image-grabber","twbarber/bing-image-grabber","1","191","23","23","19709","2816","LOW","HIGH","LOW","HIGH","6"
"6116bbb6ff0b201d2429797c","osgi","xingguang2013/osgi","2","238","17","16","34354","3943","LOW","HIGH","LOW","HIGH","6"
"6116bd4bff0b202d6c78ffa2","thelq-pircbotx","TheLQ/thelq-pircbotx","1","243","34","28","17640","3376","LOW","HIGH","LOW","HIGH","6"
"6116bd4fff0b202d6c790097","seddi","TheLQ/seddi","2","263","24","19","21829","3072","LOW","HIGH","LOW","HIGH","6"
"6116c147ff0b201700c585d5","minecraft_mod_thx","theoxylo/minecraft_mod_thx","1","213","21","21","19092","4624","LOW","HIGH","LOW","HIGH","6"
"6116c14dff0b201700c586c5","Image_vectorizer","zeroblitz36/Image_vectorizer","1","176","19","17","18149","2452","LOW","HIGH","LOW","HIGH","6"
"6116c5f7ff0b203b7cfaa825","interpres","thomasbrus/interpres","2","279","54","52","21263","3313","LOW","HIGH","LOW","HIGH","6"
"6116c5fdff0b203b7cfaa95a","elasticsearch-suggest-plugin","zhiying8710/elasticsearch-suggest-plugin","2","187","42","36","24662","4159","LOW","HIGH","LOW","HIGH","6"
"6116c731ff0b201e082d60ad","home-budget","satrapu/home-budget","2","176","33","36","27930","3685","LOW","HIGH","LOW","HIGH","6"
"6116c754ff0b201e082d615f","microsoft-translator-java-api","sohel274/microsoft-translator-java-api","2","182","14","13","33051","3252","LOW","HIGH","LOW","HIGH","6"
"6116d18fff0b202c7825ab88","hdp-vagrant-generator","timveil/hdp-vagrant-generator","1","164","11","12","33255","1705","LOW","HIGH","LOW","HIGH","6"
"6116d192ff0b202c7825ac2f","giftidea","sgrailways/giftidea","2","218","53","48","24909","3398","LOW","HIGH","LOW","HIGH","6"
"6117f059ff0b203608f154e2","Vampire","Zukrein/Vampire","2","152","50","52","21256","4644","LOW","HIGH","LOW","HIGH","6"
"6117f05dff0b203608f1557c","robocode_bots.EvBotNG","evgmik/robocode_bots.EvBotNG","1","258","3","3","19990","2397","LOW","HIGH","LOW","HIGH","6"
"6117f136ff0b203b5cd66a10","JSCover2","tntim96/JSCover2","2","261","57","57","36535","3816","LOW","HIGH","LOW","HIGH","6"
"6117f138ff0b203b5cd66b19","Lexer","Toberumono/Lexer","1","170","29","30","25202","3953","LOW","HIGH","LOW","HIGH","6"
"6117f273ff0b20281c75d1f3","polyglot-rovers","toddmowen/polyglot-rovers","1","160","23","20","30135","4183","LOW","HIGH","LOW","HIGH","6"
"6117f274ff0b20281c75d295","ci-sauce","shutterfly/ci-sauce","2","253","22","18","22486","3008","LOW","HIGH","LOW","HIGH","6"
"61185794ff0b202140a01af6","wailanbt","sb023612/wailanbt","9","163","13","13","1794","3332","LOW","HIGH","HIGH","LOW","7"
"6118579aff0b202140a01b9b","DesktopHipster","scanniza/DesktopHipster","10","312","51","54","1673","2867","LOW","HIGH","HIGH","LOW","7"
"61185938ff0b2046b83b5840","Hello.App","Schulprojekt/Hello.App","8","195","24","23","911","4455","LOW","HIGH","HIGH","LOW","7"
"6118593aff0b2046b83b5905","GameJam","sconealone/GameJam","7","166","12","12","569","2334","LOW","HIGH","HIGH","LOW","7"
"61185e5cff0b2046d43ff0ca","sidannarverkefni","SpiderPigs/sidannarverkefni","7","164","8","8","345","2531","LOW","HIGH","HIGH","LOW","7"
"61185e5eff0b2046d43ff171","cultu-sim","Goblinz/cultu-sim","12","197","23","25","937","4254","LOW","HIGH","HIGH","LOW","7"
"61185f36ff0b2044341a0993","ClueGameExp","syoshiha/ClueGameExp","7","148","22","22","886","3682","LOW","HIGH","HIGH","LOW","7"
"61185f38ff0b2044341a0a29","SoftwareEngineering73","Len95/SoftwareEngineering73","7","174","28","32","1123","3946","LOW","HIGH","HIGH","LOW","7"
"611863a0ff0b201b4c3c4376","snackbar","Sefford/snackbar","14","188","14","12","2868","3534","LOW","HIGH","HIGH","LOW","7"
"611863a3ff0b201b4c3c4444","ZSWI_monitoring","Sekiphp/ZSWI_monitoring","12","160","19","20","1820","2808","LOW","HIGH","HIGH","LOW","7"
"6118668c88d4f32db42e4970","P2P_Project","ssanupam24/P2P_Project","12","166","18","17","1901","3439","LOW","HIGH","HIGH","LOW","7"
"6118668e88d4f32db42e4a18","saltstack-netapi-client-java","sschober/saltstack-netapi-client-java","9","151","25","22","3025","3145","LOW","HIGH","HIGH","LOW","7"
"61186bc988d4f3082cd45be7","Connect-4-Game","waiyeung/Connect-4-Game","7","198","23","23","778","3052","LOW","HIGH","HIGH","LOW","7"
"61186bcd88d4f3082cd45cb1","PizzaWebshop","TheKaindorfCompany/PizzaWebshop","16","156","27","28","2015","4714","LOW","HIGH","HIGH","LOW","7"
"61186d8a88d4f31cc8b446d7","CS160","chaoservices/CS160","13","207","23","23","2162","4059","LOW","HIGH","HIGH","LOW","7"
"61186d8f88d4f31cc8b447a8","JavaMapper","ThinkBigZach/JavaMapper","7","252","11","11","1488","2209","LOW","HIGH","HIGH","LOW","7"
"61186ec788d4f318dc2ad2d2","PsyLog","SW807/PsyLog","7","211","22","19","1389","2218","LOW","HIGH","HIGH","LOW","7"
"61186eca88d4f318dc2ad3b6","Banco-Imobiliario","UFC-Quixada-PDS2014-2/Banco-Imobiliario","14","188","70","73","1122","4371","LOW","HIGH","HIGH","LOW","7"
"611adf2bff0b204214d0e773","projet1","TL1-fa17/projet1","9","219","18","17","959","3438","LOW","HIGH","HIGH","LOW","7"
"611adf36ff0b204214d0e886","ZeppelinPi","tmertensacker/ZeppelinPi","14","207","15","14","2930","4059","LOW","HIGH","HIGH","LOW","7"
"611ae027ff0b2049ac420437","FloatingActionButton","whysqwhw/FloatingActionButton","8","258","18","10","3296","3667","LOW","HIGH","HIGH","LOW","7"
"611ae02fff0b2049ac42053b","InfoExpr2","MaxMEllon/InfoExpr2","8","188","29","28","2607","3883","LOW","HIGH","HIGH","LOW","7"
"611ae186ff0b204384e62adc","musicalChairs","Octoberapples/musicalChairs","8","216","8","6","522","2727","LOW","HIGH","HIGH","LOW","7"
"611ae18bff0b204384e62be1","FTBLaunch","wisesascha/FTBLaunch","11","241","33","31","2052","3873","LOW","HIGH","HIGH","LOW","7"
"611b0875ff0b20008454f360","inf2013_sudoku","wOOx92/inf2013_sudoku","8","224","18","18","1271","4118","LOW","HIGH","HIGH","LOW","7"
"611b0879ff0b20008454f442","GoldMine","vegaen/GoldMine","9","224","21","21","1205","4235","LOW","HIGH","HIGH","LOW","7"
"611b0c78ff0b2044cc24e4c8","AtcInt-King-of-Tokyo","joey44/AtcInt-King-of-Tokyo","8","164","22","12","839","3981","LOW","HIGH","HIGH","LOW","7"
"611b0c7cff0b2044cc24e56e","massive-tyrion","wyollinger1/massive-tyrion","9","174","11","11","1688","4829","LOW","HIGH","HIGH","LOW","7"
"611b115aff0b2025d0fd8ad6","IDKProject_MID2_PFID3","TimFra/IDKProject_MID2_PFID3","8","213","20","20","650","3292","LOW","HIGH","HIGH","LOW","7"
"611b115dff0b2025d0fd8bad","Pedometer","sifang/Pedometer","10","151","17","17","2115","4577","LOW","HIGH","HIGH","LOW","7"
"611bbd9eff0b202f94e7fbe9","Soft-Werke-practic","PolinkaLa/Soft-Werke-practic","1","11","27","30","787","2151","LOW","LOW","LOW","LOW","1"
"611bbda0ff0b202f94e7fbf6","-M2RAdvProg-Photo_Browser","CedricPortaneri/-M2RAdvProg-Photo_Browser","1","9","23","24","3015","2074","LOW","LOW","LOW","LOW","1"
"611bc023ff0b20495847860d","PAC1","sadam0930/PAC1","2","16","28","30","1775","2156","LOW","LOW","LOW","LOW","1"
"611bc025ff0b20495847861f","JFuzzyLogic","lailson/JFuzzyLogic","1","11","4","4","791","1816","LOW","LOW","LOW","LOW","1"
"611bc801ff0b20398c68e344","elfichero-app","lfelipemarin/elfichero-app","2","7","17","15","1485","1985","LOW","LOW","LOW","LOW","1"
