"id","repository","context","qtclasses","classesWithSmells","BRAIN_CLASS","GOD_CLASS","DATA_CLASS","LONG_METHOD","COMPLEX_METHOD","BRAIN_METHOD","FEATURE_ENVY","LOC","numCommits","numContributors","time"
"3","611bbd9eff0b202f94e7fbe9","1","27","1","0","0","0","1","1","0","0","LOW","LOW","LOW","LOW"
"4","611bbda0ff0b202f94e7fbf6","1","23","4","1","0","0","4","3","2","0","LOW","LOW","LOW","LOW"
"5","611bc023ff0b20495847860d","1","28","4","0","0","0","2","4","1","0","LOW","LOW","LOW","LOW"
"6","611bc025ff0b20495847861f","1","4","2","0","0","0","2","1","1","0","LOW","LOW","LOW","LOW"
"7","611bc801ff0b20398c68e344","1","17","4","0","0","2","2","1","0","0","LOW","LOW","LOW","LOW"
"8","611bc803ff0b20398c68e34d","1","11","8","0","0","0","6","4","2","0","LOW","LOW","LOW","LOW"
"9","611bc92eff0b201c54d98a03","1","18","5","0","0","5","0","0","0","0","LOW","LOW","LOW","LOW"
"10","611bc930ff0b201c54d98a16","1","33","3","0","0","2","1","1","0","0","LOW","LOW","LOW","LOW"
"11","611bc9f4ff0b203ecc695e24","1","8","0","0","0","0","0","0","0","0","LOW","LOW","LOW","LOW"
"12","611bc9f5ff0b203ecc695e38","1","7","0","0","0","0","0","0","0","0","LOW","LOW","LOW","LOW"
"13","611bcaf4ff0b202c7085e3b8","1","52","2","0","0","0","2","0","0","0","LOW","LOW","LOW","LOW"
"14","611bcaf5ff0b202c7085e3cd","1","6","1","0","0","0","1","1","0","0","LOW","LOW","LOW","LOW"
"15","611bffc6ff0b2048acafe976","1","27","0","0","0","0","0","0","0","0","LOW","LOW","LOW","LOW"
"16","611bffc8ff0b2048acafe98e","1","10","0","0","0","0","0","0","0","0","LOW","LOW","LOW","LOW"
"17","611c01b6ff0b202b8c06ca05","1","12","3","1","1","0","1","3","1","0","LOW","LOW","LOW","LOW"
"18","611c01b7ff0b202b8c06ca16","1","16","0","0","0","0","0","0","0","0","LOW","LOW","LOW","LOW"
"19","611c0634ff0b20385820d114","1","11","0","0","0","0","0","0","0","0","LOW","LOW","LOW","LOW"
"20","611c0636ff0b20385820d124","1","14","1","0","0","0","1","1","1","0","LOW","LOW","LOW","LOW"
"21","611c0761ff0b202fd8af20fd","1","12","1","0","0","0","1","1","1","0","LOW","LOW","LOW","LOW"
"22","611c0762ff0b202fd8af2119","1","36","2","0","2","0","1","1","0","0","LOW","LOW","LOW","LOW"
"23","611c0b03ff0b203b709895dc","1","10","1","0","1","0","0","0","0","0","LOW","LOW","LOW","LOW"
"24","611c0b04ff0b203b709895ed","1","6","2","0","0","0","2","0","1","0","LOW","LOW","LOW","LOW"
"25","611c0c4eff0b200ccc18cf09","1","21","6","1","0","1","3","4","2","0","LOW","LOW","LOW","LOW"
"26","611c0c4fff0b200ccc18cf1b","1","38","0","0","0","0","0","0","0","0","LOW","LOW","LOW","LOW"
"27","611c0dc5ff0b200db44cb7fe","1","16","2","0","0","1","1","1","1","0","LOW","LOW","LOW","LOW"
"28","611c0dc6ff0b200db44cb80b","1","12","0","0","0","0","0","0","0","0","LOW","LOW","LOW","LOW"
"29","611c0eeeff0b20267095db54","1","10","0","0","0","0","0","0","0","0","LOW","LOW","LOW","LOW"
"30","611c0eefff0b20267095db67","1","21","1","0","0","0","1","0","0","0","LOW","LOW","LOW","LOW"
"31","611c10a0ff0b2030549634cd","1","22","1","0","0","0","0","1","0","0","LOW","LOW","LOW","LOW"
"32","611c10a1ff0b2030549634e4","1","29","5","0","0","3","0","3","0","0","LOW","LOW","LOW","LOW"
"33","611fc7c012f9e0375c0bea4f","2","9","0","0","0","0","0","0","0","0","LOW","LOW","LOW","HIGH"
"34","611fc7c212f9e0375c0bea60","2","1","0","0","0","0","0","0","0","0","LOW","LOW","LOW","HIGH"
"35","611fc8c312f9e00834e6ed68","2","13","3","0","2","0","0","3","0","0","LOW","LOW","LOW","HIGH"
"36","611fc8c512f9e00834e6ed81","2","12","3","0","0","2","1","0","0","0","LOW","LOW","LOW","HIGH"
