"id","repository","qtClasses","qtSmells","smellsperclass","context"
"6","6116af81ff0b2031e407124b","29","0","0","6"
"7","6116af85ff0b2031e407132a","21","7","0.333333","6"
"8","6116b40fff0b202190c4095d","12","23","1.91667","6"
"9","6116b413ff0b202190c40a36","12","5","0.416667","6"
"10","6116b7b3ff0b2021b42a54cd","91","0","0","6"
"11","6116b7b7ff0b2021b42a5571","27","16","0.592593","6"
"12","6116b8d0ff0b201420c4240d","7","0","0","6"
"13","6116b8d2ff0b201420c424af","71","1","0.0140845","6"
"14","6116b9f2ff0b201994d04133","16","27","1.6875","6"
"15","6116b9f4ff0b201994d041f8","12","1","0.0833333","6"
"16","6116bad1ff0b202ce0fcd199","110","13","0.118182","6"
"17","6116bad4ff0b202ce0fcd28f","36","3","0.0833333","6"
"18","6116bbb2ff0b201d242978b3","23","0","0","6"
"19","6116bbb6ff0b201d2429797c","17","11","0.647059","6"
"20","6116bd4bff0b202d6c78ffa2","34","7","0.205882","6"
"21","6116bd4fff0b202d6c790097","24","15","0.625","6"
"22","6116c147ff0b201700c585d5","21","15","0.714286","6"
"23","6116c14dff0b201700c586c5","19","28","1.47368","6"
"24","6116c5f7ff0b203b7cfaa825","54","0","0","6"
"25","6116c5fdff0b203b7cfaa95a","42","2","0.047619","6"
"26","6116c731ff0b201e082d60ad","33","1","0.030303","6"
"27","6116c754ff0b201e082d615f","14","0","0","6"
"28","6116d18fff0b202c7825ab88","11","1","0.0909091","6"
"29","6116d192ff0b202c7825ac2f","53","4","0.0754717","6"
"30","6117f059ff0b203608f154e2","50","13","0.26","6"
"31","6117f05dff0b203608f1557c","3","1","0.333333","6"
"32","6117f136ff0b203b5cd66a10","57","3","0.0526316","6"
"33","6117f138ff0b203b5cd66b19","29","5","0.172414","6"
"34","6117f273ff0b20281c75d1f3","23","0","0","6"
"35","6117f274ff0b20281c75d295","22","2","0.0909091","6"
"36","61185794ff0b202140a01af6","13","3","0.230769","7"
"37","6118579aff0b202140a01b9b","51","5","0.0980392","7"
"38","61185938ff0b2046b83b5840","24","13","0.541667","7"
