"id","repository","context","qtClasses","BRAIN_CLASS","GOD_CLASS","DATA_CLASS","LONG_METHOD","COMPLEX_METHOD","BRAIN_METHOD","FEATURE_ENVY","LOC","numCommits","numContributors","time"
"1","6116af81ff0b2031e407124b","6","29","0","0","0","0","0","0","0","LOW","HIGH","LOW","HIGH"
"2","6116af85ff0b2031e407132a","6","21","0","0","0","4","2","1","0","LOW","HIGH","LOW","HIGH"
"3","6116b40fff0b202190c4095d","6","12","0","0","0","5","5","2","0","LOW","HIGH","LOW","HIGH"
"4","6116b413ff0b202190c40a36","6","12","1","0","0","2","1","1","0","LOW","HIGH","LOW","HIGH"
"5","6116b7b3ff0b2021b42a54cd","6","91","0","0","0","0","0","0","0","LOW","HIGH","LOW","HIGH"
"6","6116b7b7ff0b2021b42a5571","6","27","1","1","0","3","5","1","0","LOW","HIGH","LOW","HIGH"
"7","6116b8d0ff0b201420c4240d","6","7","0","0","0","0","0","0","0","LOW","HIGH","LOW","HIGH"
"8","6116b8d2ff0b201420c424af","6","71","0","1","0","0","0","0","0","LOW","HIGH","LOW","HIGH"
"9","6116b9f2ff0b201994d04133","6","16","2","0","0","8","8","3","0","LOW","HIGH","LOW","HIGH"
"10","6116b9f4ff0b201994d041f8","6","12","0","0","0","1","0","0","0","LOW","HIGH","LOW","HIGH"
"11","6116bad1ff0b202ce0fcd199","6","110","0","0","0","11","2","0","0","LOW","HIGH","LOW","HIGH"
"12","6116bad4ff0b202ce0fcd28f","6","36","0","1","0","1","1","0","0","LOW","HIGH","LOW","HIGH"
"13","6116bbb2ff0b201d242978b3","6","23","0","0","0","0","0","0","0","LOW","HIGH","LOW","HIGH"
"14","6116bbb6ff0b201d2429797c","6","17","0","0","1","0","3","0","0","LOW","HIGH","LOW","HIGH"
"15","6116bd4bff0b202d6c78ffa2","6","34","0","1","0","2","4","0","0","LOW","HIGH","LOW","HIGH"
"16","6116bd4fff0b202d6c790097","6","24","1","2","0","3","4","2","0","LOW","HIGH","LOW","HIGH"
"17","6116c147ff0b201700c585d5","6","21","0","0","3","3","2","0","0","LOW","HIGH","LOW","HIGH"
"18","6116c14dff0b201700c586c5","6","19","0","2","1","5","7","3","0","LOW","HIGH","LOW","HIGH"
